<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.SPY,15,20170301,001500,236.5000000,236.5300000,236.4700000,236.5000000,1915286
US1.SPY,15,20170301,174500,238.3900000,238.6700000,238.3700000,238.4950000,6637056
US1.SPY,15,20170301,180000,238.5000000,238.8300000,238.4600000,238.8000000,3640051
US1.SPY,15,20170301,181500,238.8100000,239.0800000,238.7800000,239.0500000,4252712
US1.SPY,15,20170301,183000,239.0491000,239.1900000,238.9900000,239.0858000,2902700
US1.SPY,15,20170301,184500,239.0850000,239.1300000,238.8400000,238.8900000,2720959
US1.SPY,15,20170301,190000,238.8900000,239.1200000,238.8800000,239.1100000,2005910
US1.SPY,15,20170301,191500,239.1150000,239.3700000,239.0400000,239.2500000,2980668
US1.SPY,15,20170301,193000,239.2600000,239.4830000,239.2300000,239.4700000,3085281
US1.SPY,15,20170301,194500,239.4700000,239.5300000,239.4100000,239.5000000,2118178
US1.SPY,15,20170301,200000,239.5025000,239.6500000,239.4600000,239.5600000,2236140
US1.SPY,15,20170301,201500,239.5600000,240.0800000,239.5550000,240.0789000,3999377
US1.SPY,15,20170301,203000,240.0708000,240.1100000,239.8700000,239.9850000,3017890
US1.SPY,15,20170301,204500,239.9900000,239.9900000,239.8100000,239.8600000,1866847
US1.SPY,15,20170301,210000,239.8600000,239.8900000,239.7600000,239.8050000,1429381
US1.SPY,15,20170301,211500,239.8000000,239.9500000,239.7800000,239.8495000,1795944
US1.SPY,15,20170301,213000,239.8500000,239.9200000,239.7600000,239.8200000,1680066
US1.SPY,15,20170301,214500,239.8257000,239.8800000,239.7500000,239.8300000,1279645
US1.SPY,15,20170301,220000,239.8200000,239.9400000,239.8100000,239.8950000,2041695
US1.SPY,15,20170301,221500,239.9000000,239.9300000,239.7900000,239.9100000,1927915
US1.SPY,15,20170301,223000,239.9150000,240.3200000,239.9100000,240.2400000,4460650
US1.SPY,15,20170301,224500,240.2400000,240.2700000,240.0800000,240.1300000,1898255
US1.SPY,15,20170301,230000,240.1200000,240.3100000,240.1100000,240.2700000,2021718
US1.SPY,15,20170301,231500,240.2700000,240.2700000,240.0300000,240.0400000,2658999
US1.SPY,15,20170301,233000,240.0400000,240.1600000,239.9800000,240.0498000,2760149
US1.SPY,15,20170301,234500,240.0400000,240.1600000,239.9700000,240.1400000,3926387
US1.SPY,15,20170302,000000,240.1400000,240.1800000,239.6800000,239.7500000,9376745
US1.SPY,15,20170302,001500,239.7400000,239.7800000,239.7200000,239.7408000,2595467
US1.SPY,15,20170302,174500,239.5600000,239.5700000,239.0700000,239.3700000,5328026
US1.SPY,15,20170302,180000,239.3700000,239.4060000,239.1600000,239.3800000,2254991
US1.SPY,15,20170302,181500,239.3800000,239.3800000,238.9900000,239.0100000,2485930
US1.SPY,15,20170302,183000,239.0000000,239.2450000,238.9900000,239.2303000,2132776
US1.SPY,15,20170302,184500,239.2300000,239.2400000,239.0600000,239.2300000,1479303
US1.SPY,15,20170302,190000,239.2300000,239.2500000,239.0300000,239.0500000,1223330
US1.SPY,15,20170302,191500,239.0500000,239.0500000,238.7300000,238.8580000,2288712
US1.SPY,15,20170302,193000,238.8600000,238.9699000,238.8100000,238.8700000,1603481
US1.SPY,15,20170302,194500,238.8700000,238.8900000,238.5500000,238.7400000,2833867
US1.SPY,15,20170302,200000,238.7365000,238.9700000,238.6900000,238.9600000,1567368
US1.SPY,15,20170302,201500,238.9600000,238.9900000,238.7800000,238.8000000,1247065
US1.SPY,15,20170302,203000,238.8000000,238.8900000,238.6301000,238.6950000,1126022
US1.SPY,15,20170302,204500,238.6901000,238.8700000,238.6800000,238.8000000,1146030
US1.SPY,15,20170302,210000,238.8000000,238.9100000,238.6900000,238.8500000,952150
US1.SPY,15,20170302,211500,238.8500000,238.9000000,238.7700000,238.7799000,867125
US1.SPY,15,20170302,213000,238.7750000,238.9400000,238.7100000,238.9300000,980116
US1.SPY,15,20170302,214500,238.9200000,238.9300000,238.8000000,238.8300000,1007090
US1.SPY,15,20170302,220000,238.8299000,238.8700000,238.7000000,238.8300000,881032
US1.SPY,15,20170302,221500,238.8400000,238.9000000,238.7400000,238.8000000,691332
US1.SPY,15,20170302,223000,238.8050000,238.9500000,238.6500000,238.9450000,1703497
US1.SPY,15,20170302,224500,238.9300000,239.0800000,238.8900000,238.9450000,1678718
US1.SPY,15,20170302,230000,238.9401000,239.0700000,238.9000000,238.9500000,1408478
US1.SPY,15,20170302,231500,238.9550000,238.9550000,238.6900000,238.6900000,1526756
